cpf;nome paciente;email paciente;data nascimento paciente;endereço/rua paciente;cidade paciente;estado patiente;crm médico;crm médico estado;nome médico;email médico;token resultado exame;data exame;tipo exame;limites tipo exame;resultado tipo exame
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;IQCZ17;2021-08-05;hemácias;45-52;97
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;IQCZ17;2021-08-05;leucócitos;9-61;89
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;IQCZ17;2021-08-05;plaquetas;11-93;97
048.973.170-88;Emilly Batista Neto;gerald.crona@ebert-quigley.com;2001-03-11;165 Rua Rafaela;Ituverava;Alagoas;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;IQCZ17;2021-08-05;hdl;19-75;0
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;ldl;45-54;66
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;vldl;48-72;41
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;glicemia;25-83;6
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;tgo;50-84;32
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;tgp;38-63;16
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;eletrólitos;2-68;61
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;tsh;25-80;13
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;t4-livre;34-60;9
048.108.026-04;Juliana dos Reis Filho;mariana_crist@kutch-torp.com;1995-07-03;527 Rodovia Júlio;Lagoa da Canoa;Paraíba;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;0W9I67;2021-07-09;ácido úrico;15-61;78
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;tgp;38-63;34
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;eletrólitos;2-68;92
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;tsh;25-80;21
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;t4-livre;34-60;95
066.126.400-90;Matheus Barroso;maricela@streich.com;1972-03-09;9378 Rua Stella Braga;Senador Elói de Souza;Pernambuco;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;T9O6AI;2021-11-21;ácido úrico;15-61;10
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;TJUXC2;2021-10-05;ácido úrico;15-61;94
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;ldl;45-54;84
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;vldl;48-72;85
077.411.587-40;Ígor Moura;edelmira.stanton@lowe-blick.io;1991-02-27;550 Rua Norberto;Anajatuba;Rio de Janeiro;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;2VPICQ;2021-04-23;ácido úrico;15-61;58
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;hemácias;45-52;81
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;leucócitos;9-61;66
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;plaquetas;11-93;68
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;hdl;19-75;49
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;ldl;45-54;24
089.034.562-70;Patricia Gentil;herta_wehner@krajcik.name;1998-02-25;5334 Rodovia Thiago Bittencourt;Jequitibá;Paraná;B00067668W;RS;Félix Garcês;letty_greenfelder@herzog.name;ST7APU;2022-03-24;vldl;48-72;36
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;hemácias;45-52;39
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;leucócitos;9-61;89
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;plaquetas;11-93;98
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;EMHUW2;2021-04-20;hdl;19-75;87
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;hemácias;45-52;59
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;leucócitos;9-61;12
